id;subject;questionType;question;completed;answers/0;answers/1;answers/2;answers/3;answers/4;answers/5;answers/6;answers/7;answers/8;answers/9;;correct/0;correct/1;correct/2;correct/3;correct/4;correct/5;correct/6;correct/7;correct/8;correct/9;;title/0;title/1;title/2;title/3;title/4;title/5;title/6;title/7;title/8;title/9;;;;
1078;investition;SC;Wie ist eine Investition definiert?;false;Eine betriebliche Tätigkeit, die zu unterschiedlichen Zeitpunkten t Aus- und Einzahlungen verursacht, wobei dieser Vorgang immer mit einer Auszahlung beginnt;Mittel- bis langfristige Überlassung von Anlagengegenständen gegen Zahlung eines Nutzungsentgelts;Ein Wertpapier eigener Art;Zahlungsreihe, die in der Regel mit einer Einzahlung beginnt;;;;;;;;1;0;0;0;;;;;;;;;;;;;;;;;;;;;
1079;investition;DD;Um welche Investitionsart handelt es sich? Ziehe alle Elemente in das richtige Feld.;false;Erwerb von Wertpapieren;Kauf einer neuen Maschine;;Schulungen;Marketing Maßnahmen;;;;;;;1;3;2;2;;;;;;;;Spekulative Finanzinvestition;Immaterielle Sachinvestition;Materielle Sachinvestition;;;;;;;;;;;
1080;investition;SC;Um welchen Investitionsanlass handelt es sich beim Ersatz von Arbeitskräften durch eine neue Maschine?;false;Ersatzinvestition-identischer Ersatz;Ersatzinvestition-Rationalisierungsinvestition;Erweiterungsinvestition;Einrichtungsinvestition;;;;;;;;0;1;0;0;;;;;;;;;;;;;;;;;;;;;
1081;investition;MC;Welche Vorteile hat die Kostenvergleichsrechnung?;false;Einfache Anwendung;Sagt aus, ob die Investition rentabel ist;Berücksichtigt Qualitätsunterschiede;Anwendbar beiAlternativenvergleich;;;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;
1082;investition;SC;Beurteile folgende Aussage: Bei der Kostenvergleichsrechnung sind die Kapitalkosten und Betriebskosten zu berücksichtigen.;false;Wahr;Falsch;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;
1083;investition;MC;Welche Vorteile hat die Gewinnvergleichsrechnung?;false;Einfache Anwendung;Einbeziehung des Erlöses einer Investition;Berücksichtigt Qualitätsunterschiede;Unproblematisch bei unterschiedlichen Nutzungsdauern;;;;;;;;1;1;0;0;;;;;;;;;;;;;;;;;;;;;
1084;investition;TQ;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1085;investition;SC;Welche Menge muss mindestens abgesetzt werden, damit keine Verluste erzielt werden?;false;Keine;Break-Even-Menge;Maximale Produktionsmenge;Minimale Produktionsmenge;;;;;;;;0;1;0;0;;;;;;;;;;;;;;;;;;;;;
1086;investition;SC;Beurteile folgende Aussage: Der Gewinn bei Break-Even-Menge ist größer 0.;false;Wahr;Falsch;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;
1087;investition;SC;Beurteile folgende Aussage: Bei den dynamischen Investitionsrechnungen werden mehrere Perioden betrachtet.;false;Wahr;Falsch;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;
1088;investition;SC;Wie ist der Kapitalwert definiert?;false;Positive Differenz aus Erträgen und Aufwendungen;Gewinn nach Abzug von Steuern;Kennziffer der dynamischen Investitionsrechnung - Summe der Barwerte einer Investition;Summe der materiellen und immateriellen Güter eines Unternehmens;;;;;;;;0;0;1;0;;;;;;;;;;;;;;;;;;;;;
1089;investition;DD;Handelt es sich um ein statisches oder dynamisches Investitionsrechenverfahren? Ziehe alle Elemente in das richtige Feld.;false;Kostenvergleichsrechnung;Dynamische Amortisationsdauer;Gewinnvergleichsrechnung;Annuitätenmethode;Kapitalwertmethode;Rentabilitätsrechnung;Amortisationsrechnung;Interner Zinsfuß;;;;1;2;1;2;2;1;1;2;;;;Statische;Dynamische;;;;;;;;;;;;
1090;investition;TL;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1091;bilanzierung;MC;Welche Merkmale treffen auf das externe Rechnungswesen zu?;false;Frei von gesetzlichen Vorschriften;Vergangenheitsbezogen;An gesetzliche Vorschriften gebunden;Freie Gestaltung;Aufgaben: Dokumentation, Rechenschaftslegung, Information, Kontrolle;Zukunftsbezogen;Aufgaben: Kostenrechnung, Planungsrechnung;;;;;0;1;1;0;1;0;0;;;;;;;;;;;;;;;;;;
1092;bilanzierung;TQ;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1093;bilanzierung;DD;Ordne folgende Positionen der jeweiligen Bilanzseite zu!;false;Forderungen;Rückstellungen;Maschinen;Gezeichnetes Kapital;Grundstücke;Darlehen;Kapitalrücklagen;Gebäude;Gewinnrücklagen;Fuhrpark;;1;2;1;2;1;2;2;1;2;1;;Aktiva;Passiva;;;;;;;;;;;;
1094;bilanzierung;TQ;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1095;bilanzierung;MC;Welche der folgenden Geschäftsvorfälle sind erfolgswirksam?;false;Rohstoffeinkauf in bar;Zahlung einer Verbindlichkeit;Verkauf von eigenen Erzeugnissen auf Ziel;Aufnahme eines Darlehens;Rohstoffe gehen in die Produktion;Maschine wird abgeschrieben;Miete für Lagerhalle wird bezahlt;Darlehenszinsen werden gezahlt;;;;0;0;1;0;1;1;1;1;;;;;;;;;;;;;;;;;
1096;bilanzierung;SC;Was gehört nicht zu einem Jahresabschluss nach HGB?;false;Bilanz;Lagebericht;Anhang (bei Kapitalgesellschaften);Gewinn- und Verlustrechnung;;;;;;;;0;1;0;0;;;;;;;;;;;;;;;;;;;;;
1097;bilanzierung;DD;Kapitalgesellschaft oder Personengesellschaft? Ordne zu.;false;KGaA;KG;OHG;AG;GmbH;GbR;;;;;;1;2;2;1;1;2;;;;;;Kapitalgesellschaft;Personengesellschaft;;;;;;;;;;;;
1098;bilanzierung;TQ;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1099;bilanzierung;SC;Welche Komponente zählt nicht zu den Anschaffungskosten nach §255 HGB?;false;Anschaffungspreis;Umsatzsteuer;Anschaffungsnebenkosten;Nachträgliche Anschaffungsnebenkosten;Anschaffungspreisminderungen;Vertriebskosten/ Sondereinzelkosten des Vertriebs;;;;;;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;
1100;bilanzierung;DD;Aktivierungspflicht, -wahlrecht oder -verbot? Ordne zu.;false;Sondereinzelkosten der Fertigung;Material- und Fertigungsgemeinkosten;Fertigungseinzelkosten;Fremdkapitalkosten (bedingt);Forschungskosten;Aufwendungen für soziale Einrichtungen;Leerkosten (Kosten der U>nterbeschäftigung);Materialeinzelkosten;Allgemeine Verwaltungskosten;;;1;1;1;2;3;2;3;1;2;;;Pflicht;Wahlrecht;Verbot;;;;;;;;;;;
1101;bilanzierung;TQ;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1102;bilanzierung;MC;Welche Aussagen über HGB und IFRS sind korrekt?;false;Für Vorräte gilt nach HGB das strenge Niederstwertprinzip (Abschreibungspflicht), während unter IFRS nur dann abgeschrieben werden muss, wenn die Erzeugnisse nicht mit Gewinn verkauft werden können.;Sowohl unter HGB als auch unter IFRS dürfen Kosten der allgemeinen Verwaltung und der Aufwendungen für soziale Einrichtungen in die Herstellungskosten miteinberechnet werden.;Das LiFo-Verfahren ist unter HGB zulässig, nicht aber unter IFRS.;Nach einer außerplanmäßigen Abschreibung darf bei einer Wertaufholung unter HGB über die fortgeführten Anschaffungskosten zugeschrieben werden, unter IFRS nicht.;Fremdkapitalkosten müssen unter IFRS in die Herstellungskosten miteinberechnet werden, während unter HGB ein Wahlrecht besteht.;;;;;;;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;
1103;bilanzierung;DD;Ordne folgende Kennzahlen richtig zu:;false;Gewinn/ durchschnittliches EK;Fremdkapital/ Gesamtkapital;Fremdkapital/ Eigenkapital;Jahresergebnis/ Umsatzerlöse;Jahresergebnis/ durchschnittliches Gesamtkapital;;;;;;;2;4;1;5;3;;;;;;;Verschuldungsgrad;EK-Rentabilität;ROI;Fremdkapitalquote;Umsatzrentabilität;;;;;;;;;
1104;bilanzierung;TL;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1105;scm;TQ;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1106;scm;MC;Welcher Begriff gehört nicht zu den drei Key Flows des Supply Chain Managements?;false;Informationen;Ressourcen;Personal;Finanzielle Mittel;;;;;;;;0;0;1;0;;;;;;;;;;;;;;;;;;;;;
1107;scm;TQ;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1108;scm;TQ;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1109;scm;MC;In welche Arten können Prozesse in einem Unternehmen eingeteilt werden?;false;wertschöpfend;nicht wertschöpfend;nicht wertschöpfend, aber notwendig;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;
1110;scm;TQ;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111;scm;SC;Welcher dieser Begriffe gehört nicht zu Inventartypen?;false;Rohwaren;Fertigwaren;Betriebsstoffe;Kapital;;;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
1112;scm;SC;Über welches IT-System findet der Informationsaustausch mit Kunden und Lieferanten statt?;false;ERP-System;CRM-System;EDI-System;Dokumentenverwaltungssystem;;;;;;;;0;0;1;0;;;;;;;;;;;;;;;;;;;;;
1113;scm;DD;Welche der folgenden Aspekte sind wertschöpfend und welche nicht? Ordne zu.;false;Kostenreduzierung;Lieferzeitreduzierung;Serviceverbesserung;Qualitätsverbesserung;Kundenzufriedenheit;Steuerreduzierung;;;;;;1;1;1;1;2;2;;;;;;wertschöpfend;nicht wertschöpfend;;;;;;;;;;;;
1114;scm;TQ;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1115;scm;MC;Kreuze die Begriffe an, die zu den 5P's einer Strategie zugeordnet werden können!;false;Plan;Pattern;Position;Perspective;Ploy;;;;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;
1116;scm;SC;________ means doing the right things to create the most benefit for the company.;false;Effectiveness;Value;Efficiency;Productivity;;;;;;;;0;0;1;0;;;;;;;;;;;;;;;;;;;;;
1117;scm;SC;Was ist der Break-Even-Point?;false;Der Punkt des maximalen Profits;Der Punkt der minimalen Kosten;Der Punkt an dem sich Kosten und Profit ausgleichen;;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;
1118;scm;SC;Bei welcher Art von Firmen kann man Supply Chain Strategien anwenden?;false;Produktion;Service;öffentliche Wirtschaft;bei allen genannten;;;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
1119;scm;TL;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1120;itsm;MC;Die Vorgehensweise von ITIL ist..;false;technikorierntiert;serviceorientiert;prozessorientiert;objektorientiert;;;;;;;;0;1;1;0;;;;;;;;;;;;;;;;;;;;;
1121;itsm;MC;Welche Teilprozesse existieren im Capacity Management?;false;Business Capacity;Component Capacity;Service Capacity;Revenue Capacity;;;;;;;;1;1;1;0;;;;;;;;;;;;;;;;;;;;;
1122;itsm;SC;Die Umsetzung von ITIL ist ein…;false;De-facto-Standard;De-jure-Standard;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;
1123;itsm;SC;Beurteile folgende Aussage: Continual Service Improvement beschäftigt sich nicht mit der Verbesserung der IT-Services, sondern der sie erbringenden Prozesse.;false;Wahr;Falsch;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;
1124;itsm;SC;Welche Alternative zu ITIL könnte die IMBIT Krake nutzen?;false;COBIT;ITMS;IMBIT;EBIT;;;;;;;;1;0;0;0;;;;;;;;;;;;;;;;;;;;;
1125;itsm;SC;Was bestimmt den Nutzen eines IT Services?;false;Service Entity & Timeframe;Availability, Warranty & Timeframe;Utility, Warranty & Cost;Cost, Utility & Availability;;;;;;;;0;0;1;0;;;;;;;;;;;;;;;;;;;;;
1126;itsm;SC;Nach welchen Kriterien sollte die IMBIT Krake den Service Catalogue sortieren?;false;Technische Kriterien;Logistische Kriterien;Finanzielle Kriterien;Kunden Kriterien;;;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
1127;itsm;DD;Ordne dem Process Owner und Process Manager die jeweiligen Aufgaben und Verantwortlichkeiten zu.;false;Prozessziele festlegen;Einhaltung von KPIs überwachen;Definition des Prozesses;Operative Ressourcenplanung;;;;;;;;1;2;1;2;;;;;;;;Process Owner;Process Manager;;;;;;;;;;;;
1128;itsm;DD;Ordne die folgenden Prozesse ihren ITIL Bänden zu:;false;Service Level Management;IT Service Continuity;Service Portfolio Management;Service Asset & Configuration Management;Financial Management;Demand Management;Incident Management;Release Management;Capacity Management;Request Fulfillment;;2;2;1;3;1;1;4;3;2;4;;Service Strategy;Service Design;Service Transition;Service Operation;;;;;;;;;;
1129;itsm;DD;Ordne die folgenden Rahmenvereinbarungen ihren jeweiligen Vertragspartner zu:;false;Service Level Agreement (SLA);Operation Level Agreement (OLA);Underpinning Contract (UP);;;;;;;;;2;1;3;;;;;;;;;Interne Einheiten;Kunden;Lieferanten;;;;;;;;;;;
1130;itsm;DD;Ordne die folgenden Attribute den Asset Management und dem Configuration Management zu.;false;Personalnummer;Standort;Prozessor;Abschreibungsbetrag;Betriebssystem;Netzwerkanbindung;Kostenstelle;IT-Service;;;;1;2;3;1;3;3;1;2;;;;Asset Management;Schnittstelle;Configuration Management;;;;;;;;;;;
1131;itsm;TQ;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1132;itsm;TQ;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1133;itsm;OD;Recovery Management: Ordne die folgenden Wiederherstellungsoptionen für den Katastrophenfall nach vorraussichlicher Downtime.;false;Warm Standby;Cold Standby;Immediate Recovery;Hot Standby;;;;;;;;2;1;4;3;;;;;;;;;;;;;;;;;;;;;
1134;itsm;TL;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1135;porter;MC;Aus welchen elementaren Bausteinen besteht die Value Chain?;false;Gewinnspanne;Primäraktivitäten;Geschäftsprozesse;sekundäre Aktivitäten;Strategie-Beratung;;;;;;;1;1;0;1;0;;;;;;;;;;;;;;;;;;;;
1136;porter;DD;Ordne folgende Begriffe zu:;false;Einkauf und Beschaffung;Produktion;Personalwirtschaft;Marketing und Vertrieb;Kundenservice;;;;;;;2;3;4;5;1;;;;;;;Customer Relationship Management;Procurement;Production Planning;HR;Sales Distribution;;;;;;;;;
1137;porter;DD;Sind folgende Aktivitäten primär oder sekundär?;false;Eingangslogistik;Beschaffung;Ausgangslogistik;Technologieentwicklung;Marketing;Personalwirtschaft;Produktion;Unternehmensinfrastruktur;Kundendienst;;;1;2;1;2;1;2;1;2;1;;;Primäre Aktivitäten;Sekundäre Aktivitäten;;;;;;;;;;;;
1138;porter;SC;Welche der folgenden Aussagen ist wahr?;false;Es gibt keinen Unterschied zwischen sekundären und primären Aktivitäten.;Primäraktivitäten sind die Tätigkeiten, die einen direkten wertschöpfenden Beitrag zur Erstellung eines Produktes oder einer Dienstleistung liefern. Sekundäre Aktivitäten sind Tätigkeiten, die für die Ausübung der primären Aktivitäten die notwendige Voraussetzung sind. Sie liefern somit einen indirekten Beitrag zur Erstellung eines Produktes oder einer Dienstleistung.;Sekundäre Aktivitäten  sind die Tätigkeiten, die einen direkten wertschöpfenden Beitrag zur Erstellung eines Produktes oder einer Dienstleistung liefern. Primäre Aktivitäten sind Tätigkeiten, die für die Ausübung der sekundären Aktivitäten die notwendige Voraussetzung sind. Sie liefern somit einen indirekten Beitrag zur Erstellung eines Produktes oder einer Dienstleistung.;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;
1139;porter;MC;Welche der folgenden Aussagen sind wahr?;false;Die Value Chain von Michale Porter stellt die Stufen der Produktion als eine geordnete Reihung von Tätigkeiten dar.;Die Wertschöpfungskette besteht aus primären Aktivitäten wie beispielsweise der Personalwirtschaft und sekundären Aktivitäten wie beispielsweise Marketing und Vertrieb.;Die Portersche Value Chain setzt sich aus den einzelnen Wertaktivitäten und der Gewinnspanne zusammen. Wertaktivitäten sind Tätigkeiten, die zur Herstellung eines Produktes oder einer Dienstleistung erbracht werden. Die Gewinnspanne ist der Unterschied zwischen dem Ertrag, den dieses Produkt erbringt, und den eingesetzten Ressourcen.;;;;;;;;;1;0;1;;;;;;;;;;;;;;;;;;;;;;
1140;porter;MC;Aus welchen fünf Kräften besteht das Five Forces Model von Michael Porter?;false;Zulieferer;Marketing;Vertrieb;Kunden;After-Sales Service;Ersatzprodukte;Export und Import;Potenzielle Mitbewerber;Mitbewerber Rivalität;;;1;0;0;1;0;1;0;1;1;;;;;;;;;;;;;;;;
1141;porter;DD;Ordne folgende Begriffe zu:;false;Bedrohung durch Substitutionsprodukte;Bedrohung durch neue Anbieter;Verhandlungsstärke der Lieferanten;Verhandlungsstärke der Abnehmer;Rivalität unter den bestehenden Wettbewerbern;;;;;;;2;5;1;3;4;;;;;;;Zulieferer;Ersatzprodukte;Kunden;Mitbewerber Rivalität;Potenzielle Mitbewerber;;;;;;;;;
1142;porter;DD;Ordne folgende Begriffe zu:;false;Ein Frucht- und Kräuterlieferant eines Bionadeherstellers könnte damit drohen, die Rohstoffe selbst zu einer Limonade zu verarbeiten.;Siruphersteller: Mittels Sirup lässt sich Leitungswasser zu einem geschmackhaltigen Erfrischungsgetränk aufwerten, welches ein Substitut für Softdrinks darstellt.;Ein Großabnehmer könnte die Softdrink Preise in gewisser Weise drücken, und damit drohen anstelle von Softdrink-Automaten, frischgepresste Säfte auszuschenken.;Coca Cola hat einen sehr großen Bekanntheitsgrad und befindet sich im Kühlschrank vieler Kunden. Um als Mitbewerber in den Markt einzutreten sind erhöhte Werbekosten nötig, um das eigene Produkt dem Kunden schmackhaft zu machen.;Die Rivalität in dem deutschen Getränkemarkt ist groß. Die Gesellschaft altert und ein großes Marktwachstum ist nicht erkennbar. Es sind einige „Bigplayer“ wie bspw. CocaCola  am Markt vertreten welche über eine hohe Kundenloyalität und hohe Werbebudgets verfügen.;;;;;;;1;2;3;4;5;;;;;;;Zulieferer;Ersatzprodukte;Kunden;Potenzielle Mitbewerber;Mitbewerber Rivalität;;;;;;;;;
1143;porter;MC;Welche der folgenden Aussagen sind wahr?;false;Das Five Forces Modell basiert darauf, dass die Attraktivität einer Branche durch die Ausprägung der fünf wesentlichen Wettbewerbskräfte bestimmt wird.;Je geringer die Bedrohung der Five Forces ist, desto unattraktiver ist die betrachtete Branche und desto schwieriger ist es, einen nachhaltigen Wettbewerbsvorteil zu erzielen.;Die Five Forces werden nie für die gesamte Branche betrachtet.;Unternehmen sollten eher versuchen, in einer Branche mit attraktiver Branchenstruktur tätig zu sein und eine verteidigungsfähige Position in ihrer Branche aufzubauen, also eine Position in der die fünf Wettbewerbskräfte eine möglichst wenig bedrohliche Ausprägung aufweisen.;;;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;
1144;porter;DD;Ordne folgende Begriffe zu:;false;Einzigartigkeit;Gesamtmarkt;Teilmarkt;Kostenvorsprung;;;;;;;;2;1;1;2;;;;;;;;Wettbewerbsbreite;strategischer Vorteil;;;;;;;;;;;;
1145;porter;TQ;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1146;porter;DD;Ordne folgende Begriffe zu:;false;Konstant hohe Geschwindigkeit;Permanente Innovationen;Größenvorteile;Kostenvorteile durch Beschränkung auf ein Segment;Standortvorteile;Automatisierung;Zeitvorteile;Flexibilität;;;;1;1;3;2;1;3;3;2;;;;Differenzierungsvorteile;Nischenvorteile;Kostenvorteile;;;;;;;;;;;
1147;porter;MC;Welche der folgenden Aussagen sind wahr?;false;Die Wettbewerbsstrategie nach Porter gehört zu den Basisstrategien der Unternehmensentwicklung und definiert wie sich ein Unternehmen gegenüber dem Wettbewerb positioniert.;Bei der Strategie der Kostenführerschaft wird angestrebt, der Anbieter auf dem Markt mit dem höchsten Preis zu sein oder zu werden.;Bei der Strategie der Differenzierung soll laut Porter ein Leistungsvorteil erarbeitet werden. Die Produkte oder Dienstleistungen sollen  fast identische Eigenschaften aufweisen.;Das Hauptaugenmerk der Wettbewerbsstrategien nach Porter richtet sich dabei auf die Wettbewerber. Ziel ist eine gefestigte Branchenposition.;;;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;
1148;porter;DD;Ordne folgende Begriffe zu:;false;Unternehmen können einen entscheidenden Konkurrenzvorteil durch minimal gehaltene Kostenstrukturen erreichen.;In dieser Strategie ist es möglich die Produkte günstiger anzubieten als die Konkurrenz.;Produkte und die Servicedienstleistungen sind bei der Strategie gekennzeichnet durch eine klare Unique Selling Position, die sich deutlich vom bestehenden Angebot am Markt differenzieren.;Strategie kann mit verschiedenen Taktiken umgesetzt werden wie bspw. durch besondere Produkteigenschaften oder Preisführerschaft.;Unternehmen positioniert innerhalb eines spezifischen Teil- oder Nischenmarktes.;Konkurrenzvorteil entsteht durch Avisierung eines engen Marktsegments mit genau definierter Zielgruppe.;;;;;;1;1;2;2;3;3;;;;;;Kostenführerschaft;Differenzierung;Fokussierung;;;;;;;;;;;
1149;porter;TL;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1150;Betriebssysteme;SC;Welche dieser Funktionen ist keine Basisfunktion des Kernels ;false;open;write;move;print;read;;;;;;;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;
1151;Betriebssysteme;DD;Unterscheide die monolithische Betriebssystemsarchitektur ;false;Answer1;Anwendungsprogramme, Systemaufruf, Dateisystem und Basisfunktionen sind in jeweils einzelne Schichten aufgeteilt und alle Teil des Betriebssystems. Ziel ist eine Kapselung hardwareunabhängiger Teile des Systems.;Alle Systemdienste werden auf mehrere Programme verteilt, welche bei Anwendung in den Prozessor geladen werden. Nur die Basisfunktionen des Betriebssystems sind dauerhaft im Prozessor verfügbar.;Answer4;Answer5;Answer6;Answer7;Answer8;Answer9;;;1;2;;;;;1;2;0;;;monolithisch;modularisiert;;;;;;;;;;;;
1152;Betriebssysteme;MC;Welchen Zustand kann ein Prozess annehmen?;false;;Blockiert;alt;gesättigt;terminiert;neu;;;;;;1;0;0;1;1;;;;;;;;;;;;;;;;;;;;
1153;Betriebssysteme;DD;Unterscheide zwischen abhängigen und unabhängigen Prozessabläufen!;false;Nutzung gemeinsamer Speicherbereiche oder Peripheriegeräte;parallel ausführbare Benutzeraufträge, die sich nicht gegenseitig beeinflussen;;;;;;;;;;1;2;;;;;;;;;;abhängig;unabhängig;;;;;;;;;;;;
1154;Betriebssysteme;MC;Welche der folgenden Begriffe können zu einem Deadlock führen?;false;Prozess;Software;Ressourcenanfrage;Trojaner;;;;;;;;1;0;1;0;;;;;;;;;;;;;;;;;;;;;
1155;Betriebssysteme;SC;Welcher dieser Begriffe ist nicht dazu geeignet die Speicherverwaltung zu erklären?;false;Logischer Adressraum;Speicher;Physikalischer Adressraum;Prozess;Kernel;;;;;;;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
1156;Betriebssysteme;OD;Wie funktioniert das sogenannte Paging?;false;Logischer Adressraum wird in Seiten aufgeteilt;Nach Zuordnung wird der Prozess im Rahmen des Hauptspeichers ausgeführt;Jede Seite erhält eine Zuordnung zu einem Rahmen;Hauptspeicher wird in Blöcke fester Größen eingeteilt;;;;;;;;4;1;3;2;;;;;;;;;;;;;;;;;;;;;
1157;Betriebssysteme;MC;Welche sind Ziele einer optimalen Prozessorverwaltung und welche nicht?;false;Fairness bei der Abarbeitung von Prozessen;Stapelbetrieb;Prozessdurchsatz;Abnutzung des Prozessors verhindern;;;;;;;;1;0;1;0;;;;;;;;;;;;;;;;;;;;;
1158;Betriebssysteme;OD;Ordne die Begriffe nach dem Ebenenmodell von links nach rechts! Beginne mit der obersten Ebene;false;BS-Ebene;höhere Programmiersprachen;digitale Logikebene;Assemblersprachen;Mikroprogramm-Ebene;koventionelle Maschinenebene;;;;;;2;4;1;6;5;3;;;;;;;;;;;;;;;;;;;
1159;Betriebssysteme;MC;Was sind Ziele von Sicherheitsmaßnahmen im Betriebssystem? Kreuze an!;false;Vetraulichkeit von Daten;Schutz vor physischen Schäden am Computer;Schutz vor Missbrauch und kriminellen Handlungen;Schutz vor jugendgefährdenen Medien;;;;;;;;1;0;1;0;;;;;;;;;;;;;;;;;;;;;
1160;Comsys;DD;Was beschreibt eine verbindungslose und eine verbindungsorientierte Kommunikation?;false;Verbindung vor der Kommunikation;Keine Empfangsbestätigung;Bytestrom in Segmenten;Keine Verbindung vor der Kommunkation;Neue Verbindung bei Fehler;Unabhängige Nachrichtenübertragung;Datenstrom reguliert;;;;;1;2;1;2;1;2;1;;;;;Verbindungsorientiert;Verbindungslos ;;;;;;;;;;;;
1161;Comsys;DD;Welche Funktionen haben folgende Schichten im ISO/OSI-Referenzmodell? (Teil 1);false;Routing der Datenpakete;Physische Sicht;Segmentierung der Pakete in Frames;Netwerk-Schicht;Hinzufügen von Prüfsummen;Umwandlung der Bits in Signal ;Data Link;physikalische Übertragung ;;;;3;1;2;3;2;1;2;1;;;;1. Schicht;2. Schicht;3. Schicht;;;;;;;;;;;
1162;Comsys;DD;Welche Funktionen haben folgende Schichten im ISO/OSI-Referenzmodell? (Teil 2);false;Kommunikation;Umwandlung in unabhängige Format;Transport;Dateneingabe und -ausgabe;Steuerung der Verbindung;Anwendung;Zuordnung der Datenpakete ;Darstellung;;;;2;3;1;4;2;4;1;3;;;;4. Schicht;5. Schicht;6. Schicht;7. Schicht;;;;;;;;;;
1163;Comsys;SC;Was versteht man unter Datenkapselung im ISO-/OSI-Modell?;false;Die zu versendenen Daten werden vor dem Zugriff von außen geschützt;Die zu versendenden Daten werden mit Informationen ergänzt;Die zu versendenden Daten werden vom Stromkreis getrennt;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;
1164;Comsys;SC;Was ist ein Socket im Kontext von Kommunikationssystemen?;false;Ein logischer Endpunkt einer Verbindung;Ein semantischer Knoten in einer Verbindung;Ein Steckplatz für Computerprozessoren;;;;;;;;;1;0;0;;;;;;;;;;;;;;;;;;;;;;
1165;Comsys;SC;Multiplexing und Demultiplexing beschreiben welchen Vorgang?;false;Das Verstärken von Leistungssignalen in einem kabelgebundenen Netzwerk;Das Verschlüsseön und Entschlüsseln von Daten in einem Heimnetzwerk;Das Packen und Entpacken von Daten verschiedener Sockets;;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;
1166;Comsys;SC;Was trifft auf das Netzwerkprotokoll UDP zu?;false;UDP baut vor dem Senden der Daten eine Verbindung auf und hat eine Fehlerkontrolle;UDP ist verbindungslos und hat keine Fehlerkontrolle;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;
1167;Comsys;MC;Welche Aussagen treffen auf ein Netzwerk in Ringstruktur zu?;false;Alle Teilnehmer werden an einen zentralen Knoten angeschlossen;Bei Ausfall eines Knotens sind sämtliche Kommunikationswege unterbrochen;Jeder Teilnehmer ist nur mit seinem linken und rechten Partner verbunden;Bei Ausfall der Zentrale sind sämtliche Kommunikationswege unterbrochen;Es gibt keine Zentrale und keine Knoten;Bei Ausfall einer Station bleibt die Kommunikation der anderen Stationen erhalten;Alle Stationen sind Knoten, es gibt keinen zentralen Knoten;Die Verbindung aller Teilnehmer erfolgt über einen gemeinsamen separaten Übertragungsweg;;;;0;1;1;0;0;0;1;0;;;;;;;;;;;;;;;;;
