subject;questionType;id;completed;question;answers/0;answers/1;answers/2;answers/3;answers/4;answers/5;answers/6;answers/7;answers/8;answers/9;answers/10;answers/11;answers/12;answers/13;answers/14;answers/15;answers/16;answers/17;answers/18;answers/19;correct/0;correct/1;correct/2;correct/3;correct/4;correct/5;correct/6;correct/7;correct/8;correct/9;correct/10;correct/11;correct/12;correct/13;correct/14;correct/15;correct/16;correct/17;correct/18;correct/19;title/0;title/1;title/2;title/3;title/4;title/5;title/6;title/7;title/8;title/9;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLPorter;MC;1064;false;Aus welchen fünf Kräften besteht das Five Forces Model von Michael Porter?;Zulieferer;Marketing;Vertrieb;Kunden;After-Sales Service;Ersatzprodukte;Export und Import;Potenzielle Mitbewerber;Mitbewerber Rivalität;;;;;;;;;;;;1;0;0;1;0;1;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLPorter;DD;1065;false;Ordne folgende Begriffe zu.;Bedrohung durch Substitutionsprodukte;Bedrohung durch neue Anbieter;Verhandlungsstärke der Lieferanten;Verhandlungsstärke der Abnehmer;Rivalität unter den bestehenden Wettbewerbern;;;;;;;;;;;;;;;;2;5;1;3;4;;;;;;;;;;;;;;;;Zulieferer;Ersatzprodukte;Kunden;Mitbewerber Rivalität;Potenzielle Mitbewerber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLPorter;DD;1066;false;Ordne folgenden Aussagen den Kategorien zu.;Ein Frucht- und Kräuterlieferant eines Bionadeherstellers könnte damit drohen, die Rohstoffe selbst zu einer Limonade zu verarbeiten.;Siruphersteller: Mittels Sirup lässt sich Leitungswasser zu einem geschmackhaltigen Erfrischungsgetränk aufwerten, welches ein Substitut für Softdrinks darstellt.;Ein Großabnehmer könnte die Softdrink Preise in gewisser Weise drücken, und damit drohen anstelle von Softdrink-Automaten, frischgepresste Säfte auszuschenken.;Coca Cola hat einen sehr großen Bekanntheitsgrad und befindet sich im Kühlschrank vieler Kunden. Um als Mitbewerber in den Markt einzutreten sind erhöhte Werbekosten nötig, um das eigene Produkt dem Kunden schmackhaft zu machen.;Die Rivalität im deutschen Getränkemarkt ist groß. Die Gesellschaft altert und ein großes Marktwachstum ist nicht erkennbar. Es sind einige „Bigplayer“ wie bspw. CocaCola  am Markt vertreten welche über eine hohe Kundenloyalität und hohe Werbebudgets verfügen.;;;;;;;;;;;;;;;;1;2;3;4;5;;;;;;;;;;;;;;;;Zulieferer;Ersatzprodukte;Kunden;Potenzielle Mitbewerber;Mitbewerber Rivalität;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLPorter;MC;1067;false;Welche der folgenden Aussagen sind wahr?;Das Five Forces Modell basiert darauf, dass die Attraktivität einer Branche durch die Ausprägung der fünf wesentlichen Wettbewerbskräfte bestimmt wird.;Je geringer die Bedrohung der Five Forces ist, desto unattraktiver ist die betrachtete Branche und desto schwieriger ist es, einen nachhaltigen Wettbewerbsvorteil zu erzielen.;Die Five Forces werden nie für die gesamte Branche betrachtet.;Unternehmen sollten eher versuchen, in einer Branche mit attraktiver Branchenstruktur tätig zu sein und eine verteidigungsfähige Position in ihrer Branche aufzubauen, also eine Position in der die fünf Wettbewerbskräfte eine möglichst wenig bedrohliche Ausprägung aufweisen.;;;;;;;;;;;;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLPorter;DD;1068;false;Ordne folgende Begriffe zu.;Einzigartigkeit;Gesamtmarkt;Teilmarkt;Kostenvorsprung;;;;;;;;;;;;;;;;;2;1;1;2;;;;;;;;;;;;;;;;;Wettbewerbsbreite;strategischer Vorteil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLPorter;DD;1069;false;Ordne folgende Eigenschaften den Vorteilsarten zu. ;Konstant hohe Geschwindigkeit;Permanente Innovationen;Größenvorteile;Kostenvorteile durch Beschränkung auf ein Segment;Standortvorteile;Automatisierung;Zeitvorteile;Flexibilität;;;;;;;;;;;;;1;1;3;2;1;3;3;2;;;;;;;;;;;;;Differenzierungsvorteile;Nischenvorteile;Kostenvorteile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLPorter;MC;1070;false;Welche der folgenden Aussagen sind wahr?;Die Wettbewerbsstrategie nach Porter gehört zu den Basisstrategien der Unternehmensentwicklung und definiert wie sich ein Unternehmen gegenüber dem Wettbewerb positioniert.;Bei der Strategie der Kostenführerschaft wird angestrebt, der Anbieter auf dem Markt mit dem höchsten Preis zu sein oder zu werden.;Bei der Strategie der Differenzierung soll laut Porter ein Leistungsvorteil erarbeitet werden. Die Produkte oder Dienstleistungen sollen  fast identische Eigenschaften aufweisen.;Das Hauptaugenmerk der Wettbewerbsstrategien nach Porter richtet sich dabei auf die Wettbewerber. Ziel ist eine gefestigte Branchenposition.;;;;;;;;;;;;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLPorter;DD;1071;false;Ordne folgende Begriffe zu.;Unternehmen können einen entscheidenden Konkurrenzvorteil durch minimal gehaltene Kostenstrukturen erreichen.;In dieser Strategie ist es möglich die Produkte günstiger anzubieten als die Konkurrenz.;Produkte und die Servicedienstleistungen sind bei der Strategie gekennzeichnet durch eine klare Unique Selling Position, die sich deutlich vom bestehenden Angebot am Markt differenzieren.;Strategie kann mit verschiedenen Taktiken umgesetzt werden wie bspw. durch besondere Produkteigenschaften oder Preisführerschaft.;Unternehmen positioniert innerhalb eines spezifischen Teil- oder Nischenmarktes.;Konkurrenzvorteil entsteht durch Avisierung eines engen Marktsegments mit genau definierter Zielgruppe.;;;;;;;;;;;;;;;1;1;2;2;3;3;;;;;;;;;;;;;;;Kostenführerschaft;Differenzierung;Fokussierung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLPorter;TQ;1072;false;Fülle den Lückentext aus.;Die Wettbewerbsstrategie nach Porter kategorisiert die wettbewerbsrelevanten;;eines Unternehmens. Zum einem nach dem strategischen Vorteil (Einzigartigkeit vs. Kostenvorsprung), zum anderen nach der Wettbewerbsbreite (Gesamtmarkt vs.;;). Je nach Positionierung eines Unternehmens differenziert es sich am Markt durch dessen Produkte oder durch eine;;auf maximale Effizienz , welche mit einer Kostenführerschaft im Markt mit einhergeht. Darüber hinaus zeigt das Modell von Porter die Möglichkeit auf, sich anhand von Differenzierung oder;;in einem Nischenmarkt zu positionieren und sich so dem breiten Wettbewerb im Gesamtmarkt zu entziehen.;;;;;;;;;;;;;2;;1;;4;;3;;;;;;;;;;;;;Teilmarkt;Positionierungsmöglichkeiten;Kostenführerschaft;Fokussierung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLPorter;TL;1073;false;Ordne den Begriffen jeweils ihre passende Übersetzung zu.;Intensity of competitive Rivalry;Threat of Entry;Threat of substitutes;Bargaining Power;Outbound logistic;Inbound logistic;Margin;Niche benefits;Cost leadership;Competitive strategy;;;;;;;;;;;10;2;1;9;3;4;8;5;6;7;;;;;;;;;;;Bedrohung durch neue Ersatzprodukte;Bedrohung durch neue Anbieter;Ausgangslogistik;Eingangslogistik;Nischenvorteile;Kostenführerschaft;Wettbewerbsstrategie;Gewinnspanne;Verhandlungsstärke;Brancheninterner Wettbewerb;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLShareholderStakeholder;DD;1074;false;Ordne folgende Personen, Unternehmen und Organisationen den Bereichen interner oder externer Stakeholder zu.;Kapitalgeber;Eigentümer;Staat&Gesellschaft;Medien;Kunden;Mitarbeiter;Management;Lieferanten;;;;;;;;;;;;;2;1;2;2;2;1;1;2;;;;;;;;;;;;;Interne Stakeholder;Externe Stakeholder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLShareholderStakeholder;MC;1075;false;Du bist für ein IT Projekt des Unternehmens Müller GmbH zuständig. Welche der folgenden Personen, Unternehmen und Organisationen sind Stakeholder?;Management;Enduser;Relevante Regierungsabteilung;Lieferanten;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLShareholderStakeholder;SC;1076;false;Wie sollte man mit Stakeholdern umgehen, die einen hohen Einfluss haben?;Einbinden und regelmäßig informieren;Ignorieren;Monatliche Newsletter zusenden;Sie vermeiden;Nur auf Nachfrage informieren;;;;;;;;;;;;;;;;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLShareholderStakeholder;SC;1077;false;Shareholder sind Inhaber (Anteilseigner) eines Unternehmens.;Richtig ;Falsch ;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLShareholderStakeholder;SC;1078;false;Der Shareholder-Ansatz versucht neben den Inhabern auch andere Anspruchsgruppen zu befriedigen.;Richtig ;Falsch ;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLShareholderStakeholder;SC;1079;false;Stakeholder sind alle Personen, Unternehmen und Organisationen, die ein bestimmtes Interesse an einem Unternehmen haben.;Richtig ;Falsch ;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLShareholderStakeholder;SC;1080;false;Nach dem Stakeholder-Ansatz soll sich ein Unternehmen ausschließlich auf die finanziellen Aspekte konzentrieren.;Richtig ;Falsch ;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLShareholderStakeholder;SC;1081;false;Die Konkurrenz eines Unternehmens zählt nicht zu den Stakeholdern.;Richtig ;Falsch ;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLStGallerModell;DD;1082;false;Ordne die folgenden Begriffe den Kategorien des St. Galler Management-Modells zu. (Teil 1);Staat;Gesellschaft;Kunden;Normen&Werte;Lieferanten;Natur;Anliegen&Interessen;Ressourcen;Wirtschaft;Technologie;;;;;;;;;;;2;1;2;3;2;1;3;3;1;1;;;;;;;;;;;Umweltsphären;Anspruchsgruppen;Interaktionsthemen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLStGallerModell;DD;1083;false;Ordne die folgenden Begriffe den Kategorien des St. Galler Management-Modells zu. (Teil 2);Kultur;Managementprozesse;Optimierung;Strukturen;Geschäftsprozesse;Strategie;Unterstützungsprozesse;Erneuerung;;;;;;;;;;;;;3;1;2;3;1;3;1;2;;;;;;;;;;;;;Prozesse;Entwicklungsmodi;Ordnungsmomente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLStGallerModell;SC;1084;false;Welcher der folgenden Punkte ist nicht Teil der Umweltsphären?;Gesellschaft;Staat;Natur;Wirtschaft;Technologie;;;;;;;;;;;;;;;;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLStGallerModell;SC;1085;false;Welcher der folgenden Punkte ist nicht Teil der Interaktionsthemen?;Ressourcen;Normen;Werte;Mitarbeiter;Anliegen&Interessen;;;;;;;;;;;;;;;;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLStGallerModell;SC;1086;false;Managementprozesse umfassen alle grundlegenden Aufgaben, die mit der Gestaltung, Lenkung (Steuerung) und Entwicklung von zweckorientierten soziotechnischen Organisationen zu tun haben.;Richtig;Falsch ;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLStGallerModell;SC;1087;false;Anspruchsgruppen bezeichnen alle Gruppen und Individuen, die in irgendeiner Form von der Wert- oder Schadschöpfung der Unternehmen betroffen sind.;Richtig;Falsch ;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLStGallerModell;SC;1088;false;Prozesse sind sich ständig ändernde Abläufe, die das Alltagsgeschehen einer Unternehmung prägen.;Richtig;Falsch ;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLStGallerModell;SC;1089;false;Die Strategie beruht auf langfristigen Entscheidungen, die dem Aufbau von Wettbewerbsvorteilen dienen.;Richtig;Falsch ;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLStGallerModell;SC;1090;false;Entwicklungsmodi bezeichnen die verschiedenen Arten der Weiterentwicklung einer Unternehmung.;Richtig;Falsch ;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLWertkette;DD;1091;false;Ordne die Unternehmensbereiche den Aktivitäten zu.;Kundendienst;Unternehmensinfrastruktur;Marketing & Vertrieb;Produktion;Beschaffung;Ausgangslogistik;Technologieentwicklung;Personalwesen;Eingangslogistik;;;;;;;;;;;;1;2;1;1;2;1;2;2;1;;;;;;;;;;;;Sekundäre Aktivität;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLWertkette;SC;1092;false;Welcher der folgenden Prozesse ist nicht Teil der primären Aktivitäten?;Personalwesen;Ausgangslogistik;Kundendienst;Marketing und Vertrieb;Eingangslogistik;;;;;;;;;;;;;;;;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLWertkette;SC;1093;false;Welcher der folgenden Prozesse ist nicht Teil der sekundären Aktivitäten?;Unternehmensinfrastruktur;Kundendienst;Personalwesen;Technologieentwicklung;Beschaffung;;;;;;;;;;;;;;;;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLWertkette;SC;1094;false;Welche der folgenden Aktivitäten ist nicht Teil der Personalarbeit?;Ausbildung;Mitarbeitermotivation;Personalbetreuung;Rekrutierung;Marktanalyse;;;;;;;;;;;;;;;;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLWertkette;SC;1095;false;Welche der folgenden Aktivitäten ist nicht Teil Eingangslogistik?;Verhandlung mit Zulieferern;Zwischenlagerung;Transport zur Produktion;Absatzstrategien;Annahme der Ware;;;;;;;;;;;;;;;;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLWertkette;SC;1096;false;Die sekundären Aktivitäten tragen direkt zur Leistungserstellung eines Unternehmens bei.;Richtig;Falsch;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLWertkette;SC;1097;false;Eine Wertkette bildet die strategisch relevanten und sich gegenseitig bedingenden Tätigkeiten eines Unternehmens ab.;Richtig;Falsch;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLWertkette;SC;1098;false;Die Eingangslogistik umfasst die Annahme der Waren von den Zulieferern, ihre Zwischenlagerung sowie den Transport zur Produktionsstätte.;Richtig;Falsch;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLWertkette;SC;1099;false;Zur Unternehmensinfrastruktur gehören ausschließlich Aspekte wie die Stromversorgung und die Anbindung an das Straßennetz.;Richtig;Falsch;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLWertkette;SC;1100;false;Die Beschaffung umfasst sowohl den Einkauf jeglicher Güter und Dienstleistungen, als auch die Beschaffung marktrelevanter Informationen.;Richtig;Falsch;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CommunicationSystems;DD;1101;false;Was beschreibt verbindungslose und verbindungsorientierte Kommunikation?;Verbindung vor der Kommunikation;Keine Empfangsbestätigung;Bytestrom in Segmenten;Keine Verbindung vor der Kommunkation;Neue Verbindung bei Fehler;Unabhängige Nachrichtenübertragung;Datenstrom reguliert;;;;;;;;;;;;;;1;2;1;2;1;2;1;;;;;;;;;;;;;;Verbindungsorientiert;Verbindungslos ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CommunicationSystems;DD;1102;false;Welche Funktionen haben folgende Schichten im ISO/OSI-Referenzmodell?;Routing der Datenpakete;Physische Sicht;Segmentierung der Pakete in Frames;Netwerk-Schicht;Hinzufügen von Prüfsummen;Umwandlung der Bits in Signal ;Data Link;physikalische Übertragung ;;;;;;;;;;;;;3;1;2;3;2;1;2;1;;;;;;;;;;;;;1. Schicht;2. Schicht;3. Schicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CommunicationSystems;DD;1103;false;Welche Funktionen haben folgende Schichten im ISO/OSI-Referenzmodell? ;Kommunikation;Umwandlung in unabhängige Format;Transport;Dateneingabe und -ausgabe;Steuerung der Verbindung;Anwendung;Zuordnung der Datenpakete ;Darstellung;;;;;;;;;;;;;2;3;1;4;2;4;1;3;;;;;;;;;;;;;4. Schicht;5. Schicht;6. Schicht;7. Schicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CommunicationSystems;SC;1104;false;Was versteht man unter Datenkapselung im ISO/OSI-Modell?;Die zu versendenen Daten werden vor dem Zugriff von außen geschützt;Die zu versendenden Daten werden mit Informationen ergänzt;Die zu versendenden Daten werden vom Stromkreis getrennt;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CommunicationSystems;SC;1105;false;Was ist ein Socket im Kontext von Kommunikationssystemen?;Ein logischer Endpunkt einer Verbindung;Ein semantischer Knoten in einer Verbindung;Ein Steckplatz für Computerprozessoren;;;;;;;;;;;;;;;;;;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CommunicationSystems;SC;1106;false;Multiplexing und Demultiplexing beschreiben welchen Vorgang?;Das Verstärken von Leistungssignalen in einem kabelgebundenen Netzwerk;Das Verschlüsseön und Entschlüsseln von Daten in einem Heimnetzwerk;Das Packen und Entpacken von Daten verschiedener Sockets;;;;;;;;;;;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CommunicationSystems;SC;1107;false;Was trifft auf das Netzwerkprotokoll UDP zu?;UDP baut vor dem Senden der Daten eine Verbindung auf und hat eine Fehlerkontrolle;UDP ist verbindungslos und hat keine Fehlerkontrolle;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CommunicationSystems;MC;1108;false;Welche Aussagen treffen auf ein Netzwerk in Ringstruktur zu?;Alle Teilnehmer werden an einen zentralen Knoten angeschlossen;Bei Ausfall eines Knotens sind sämtliche Kommunikationswege unterbrochen;Jeder Teilnehmer ist nur mit seinem linken und rechten Partner verbunden;Bei Ausfall der Zentrale sind sämtliche Kommunikationswege unterbrochen;Es gibt keine Zentrale und keine Knoten;Bei Ausfall einer Station bleibt die Kommunikation der anderen Stationen erhalten;Alle Stationen sind Knoten, es gibt keinen zentralen Knoten;Die Verbindung aller Teilnehmer erfolgt über einen gemeinsamen separaten Übertragungsweg;;;;;;;;;;;;;0;1;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CommunicationSystems;SC;1109;false;Was ist ein Datagramm?;Ein Datagramm ist eine in sich geschlossene, unabhängige Dateneinheit, die den Verlauf eines Datenpakets beschreibt.;Ein Datagramm ist eine in sich geschlossene, unabhängige Dateneinheit, die zwischen zwei Endpunkten verschickt wird.;Ein Datagramm ist eine in sich geschlossene, unabhängige Dateneinheit, die die Sicherheit eines Datenpakets beschreibt.;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CommunicationSystems;SC;1110;false;Was beschreibt die IP-Fragmentierung?;Die Aufteilung eines Datagramms auf mehrere Blöcke, falls die Gesamtlänge größer als die Maximum Transmission Unit der Netzwerkschnittstelle ist.;Die Vertauschung von Blöcken in Datagrammen, die durch Speicherung in den Netzwerkschnittstellen hervorgerufen wird.;Die Aufteilung eines Datagramms auf mehrere Blöcke bei der Speicherung der Daten beim ISP.;;;;;;;;;;;;;;;;;;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CommunicationSystems;SC;1111;false;Wozu dient DHCP?;DHCP (Dual Hyper Core Protocol) ermöglicht die Zuweisung von Prozessorkernen in Routern.;DHCP (Dipper Host Calculation Protocol) ermöglicht die genaue Berechnung von IP-Adressen im Internet.;DHCP (Dynamic Host Configuration Protocol) ermöglicht die Zuweisung der Netzwerkkonfiguration an Clients durch einen Server.;;;;;;;;;;;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CommunicationSystems;TQ;1112;false;Was ist der Unterschied zwischen einem leitungsvermittelnden und einem paketvermittelnden Netz?;Beim paketvermittelnden Netz sind;;Pfade möglich, parallele Kommunikation ist;;. Beim leitungsvermittelnden Netz sind;;Pfade möglich, parallele Kommunikation ist;;.;;;;;;;;;;;;;4;1;3;2;;;;;;;;;;;;;;;;unmöglich;dynamische;exklusive;möglich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CommunicationSystems;TQ;1113;false;Was ist der Unterschied zwischen der logischen und physikalischen Topologie?;Die physikalische Topologie beschreibt, wie die Komponenten miteinander;;. Die;;Topologie beschreibt, wie die Komponenten miteinander;;.;;;;;;;;;;;;;;;3;1;2;;;;;;;;;;;;;;;;;kommunizieren;verbunden sind;logische;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CommunicationSystems;TQ;1114;false;Wozu dient HTTP Caching?;Durch HTTP Caching werden Ressourcen auf einem;;oder im ;;zwischengespeichert, um Anfragen von;;erfüllen zu können, ohne den;;wird sie von dort aus übertragen. Ist die Ressource nicht dort, wird sie zuerst vom Original-Server geladen und dann übertragen.;;;;;;;;;;;;;5;3;1;4;2;;;;;;;;;;;;;;;Cache;Clients;Proxy;Server;Browser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CommunicationSystems;TL;1115;false;Ordne den deutschen Fachbegriffen ihre englischen Übersetzungen zu.;Communication Protocol;Application;Session;Physical Layer;Checksum;Data Encapsulation;Topology;Network Layer;Connection;Framentation;;;;;;;;;;;3;7;1;10;2;6;9;8;5;4;;;;;;;;;;;Sitzung;Prüfsumme;Kommunikationsprotokoll;Fragmentierung;Verbindung;Datenkapselung;Anwendung;Vermittlungsschicht;Topologie;Bitübertragungsschicht;;;;;;;;;;;;;;;;;;;;;;;;;;
Controlling;SC;1116;false;Was zählt nicht zu den wesentlichen Aufgaben des Controllings?;Sicherstellen von Transparenzen im Hinblick auf Strategien, Ergebnisse, Finanzen und Prozesse;Unternehmensübergreifende Gestaltung des zukunftsorientierten Berichtswesens;Pflegen der Controllingsysteme;Unterstützung des Managementsprozesses der Zielfindung, Planung und Steuerung;Kontrolle von eingehenden Rechnungen;;;;;;;;;;;;;;;;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Controlling;MC;1117;false;Welche Komponenten gehören zum Führungssystem eines Unternehmens?;Zielsystem;Organisationssystem;Betriebssystem;Projektmanagementsystem;Personalführungssystem;Informationssystem;Planungs- und Kontrollsystem;;;;;;;;;;;;;;1;1;0;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Controlling;DD;1118;false;Ordne die Planungshorizonte richtig zu.;Bis zu einem Jahr;Zwischen einem und fünf Jahren;Mehr als fünf Jahre;;;;;;;;;;;;;;;;;;3;1;2;;;;;;;;;;;;;;;;;;Taktisch;Strategisch;Operativ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Controlling;DD;1119;false;Ordne folgende Controllinginstrumente richtig zu.;Soll-Ist-Analyse;Szenarioanalyse;ABC-Analyse;Nutzwertanalyse;Budgetierung;Umweltanalyse;Berichtswesen;Stärken-Schwächen-Analyse;;;;;;;;;;;;;2;1;2;1;2;1;2;1;;;;;;;;;;;;;Strategisch;Operativ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Controlling;DD;1120;false;Ordne folgende strategische Controllinginstrumente richtig zu.;Marktwachstums-Marktanteils-Portfolio von BCG;Wertkettenanalyse;St. Galler Managementmodell;PESTEL-Analyse;Produkt-Markt-Expansionsraster nach Ansoff;Five Forces nach Porter;;;;;;;;;;;;;;;1;1;2;2;1;2;;;;;;;;;;;;;;;Intern;Extern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Controlling;MC;1121;false;Aus welchen Perspektiven setzt sich die Balanced Scorecard zusammen?;Finanzperspektive;Produktperspektive;Kundenperspektive;Potenzialperspektive;Preisperspektive;Prozessperspektive;Lieferantenperspektive;;;;;;;;;;;;;;1;0;1;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Controlling;DD;1122;false;Ordne folgende Ziele der richtigen Perspektive aus der BSC zu.;Mitarbeiterzufriedenheit steigern;hoher Marktanteil;Effizienz steigern;Umsatzrendite steigern;;;;;;;;;;;;;;;;;4;2;3;1;;;;;;;;;;;;;;;;;Finanzperspektive;Kundenperspektive;Prozessperspektive;Potenzialperspektive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Controlling;MC;1123;false;Welche der folgenden Kennzahlen gehören zu den Finanzkennzahlen?;CPO;EBIT;ROCE;NPS;EVA;ROI;;;;;;;;;;;;;;;0;1;1;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Controlling;DD;1124;false;Ordne den folgenden Definitionen einer Kennzahl zu.;Operatives Ergebnis (Bruttogewinn);Differenz aus Geschäftsergebnis und Kapitalkosten (Übergewinn);Gewinn im Verhältnis zum eingesetzten Kapital (Rentabilitätsmaß);;;;;;;;;;;;;;;;;;1;2;3;;;;;;;;;;;;;;;;;;EBIT;EVA;ROI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
